Symbol,Name,% Holding,Fund
LIN,Linde Plc,17.29%,XLB
SHW,Sherwin-Williams Company,8.30%,XLB
APD,Air Products and Chemicals,6.61%,XLB
ECL,Ecolab Inc,5.63%,XLB
FCX,Freeport-Mcmoran Inc,5.53%,XLB
NEM,Newmont Mining Corp,4.64%,XLB
DD,Du Pont De.Nemours Inc,4.05%,XLB
DOW,Dow Inc,4.01%,XLB
PPG,PPG Industries,3.96%,XLB
IFF,International Flavors & Fragrances,3.58%,XLB
CTVA,Corteva Inc,3.40%,XLB
NUE,Nucor Corp,3.29%,XLB
BLL,Ball Corp,2.97%,XLB
MLM,Martin Marietta Materials,2.70%,XLB
VMC,Vulcan Materials Company,2.68%,XLB
ALB,Albemarle Corp,2.66%,XLB
LYB,Lyondellbasell Industries NV,2.32%,XLB
AMCR,Amcor Plc,1.83%,XLB
IP,International Paper Company,1.81%,XLB
CE,Celanese Corp,1.78%,XLB
AVY,Avery Dennison Corp,1.72%,XLB
EMN,Eastman Chemical Company,1.61%,XLB
CF,Cf Industries Holdings,1.36%,XLB
FMC,FMC Corp,1.33%,XLB
MOS,Mosaic Company,1.33%,XLB
PKG,Packaging Corp of America,1.26%,XLB
WRK,Westrock Company,1.18%,XLB
SEE,Sealed Air Corp,0.97%,XLB
XLB,S&P 500 Materials Sector SPDR,N/A,XLB
AMT,American Tower Corp,11.86%,XLRE
PLD,Prologis Inc,11.25%,XLRE
CCI,Crown Castle International Corp,8.08%,XLRE
EQIX,Equinix Inc,6.89%,XLRE
PSA,Public Storage,5.16%,XLRE
SPG,Simon Property Group,4.65%,XLRE
DLR,Digital Realty Trust,4.53%,XLRE
SBAC,SBA Communications,3.78%,XLRE
O,Realty Income Corp,3.48%,XLRE
CBRE,CBRE Group Inc,3.32%,XLRE
WELL,Welltower Inc,3.27%,XLRE
AVB,Avalonbay Communities,3.20%,XLRE
ARE,Alexandria Real Estate Equities,2.80%,XLRE
EQR,Equity Residential,2.80%,XLRE
WY,Weyerhaeuser Company,2.77%,XLRE
EXR,Extra Space Storage Inc,2.67%,XLRE
MAA,Mid-America Apartment Communities,2.41%,XLRE
DRE,Duke Realty Corp,2.21%,XLRE
ESS,Essex Property Trust,2.08%,XLRE
VTR,Ventas Inc,1.80%,XLRE
PEAK,Healthpeak Properties Inc,1.75%,XLRE
UDR,United Dominion Realty Trust,1.53%,XLRE
BXP,Boston Properties,1.51%,XLRE
IRM,Iron Mountain Inc,1.37%,XLRE
KIM,Kimco Realty Corp,1.30%,XLRE
HST,Host Marriott Financial Trust,1.03%,XLRE
REG,Regency Centers Corp,1.02%,XLRE
FRT,Federal Realty Investment Trust,0.84%,XLRE
VNO,Vornado Realty Trust,0.60%,XLRE
XLRE,S&P 500 Real Estate Sector SPDR,N/A,XLRE
CCXI,Chemocentryx Inc,1.94%,XBI
DRNA,Dicerna Pharmaceutic,1.54%,XBI
ARNA,Arena Pharmaceuticals,1.37%,XBI
ACAD,Acadia Pharmaceutica,1.36%,XBI
MCRB,Seres Therapeutics Inc,1.15%,XBI
APLS,Apellis Pharmaceuticals Inc,1.14%,XBI
CYTK,Cytokinetics,1.09%,XBI
ABBV,Abbvie Inc,1.09%,XBI
FGEN,Fibrogen Inc CS,1.09%,XBI
VRTX,Vertex Pharmaceutic,0.99%,XBI
SRPT,Sarepta Therapeutics,0.95%,XBI
OPK,Opko Health Inc,0.95%,XBI
BMRN,Biomarin Pharmaceuticals,0.94%,XBI
VIR,Vir Biotechnology Inc,0.92%,XBI
AMGN,Amgen Inc,0.92%,XBI
RCUS,Arcus Biosciences Inc,0.92%,XBI
LGND,Ligand Pharm,0.90%,XBI
GILD,Gilead Sciences Inc,0.90%,XBI
ARWR,Arrowhead Pharma,0.90%,XBI
INCY,Incyte Corp,0.89%,XBI
BPMC,Blueprint Medicines Corp,0.89%,XBI
GBT,Global Blood Ther,0.87%,XBI
SWTX,Springworks Therapeutics Inc,0.87%,XBI
SGEN,Seagen Inc,0.86%,XBI
ALNY,Alnylam Pharmaceuticals,0.86%,XBI
INSM,Insmed Inc,0.86%,XBI
REGN,Regeneron Pharmaceuticals,0.86%,XBI
AVXL,Anavex Lf SC,0.84%,XBI
HZNP,Horizon Therapeutics,0.84%,XBI
ALEC,Alector Inc,0.84%,XBI
KRTX,Karuna Therapeutics Inc,0.82%,XBI
UTHR,United Therapeutic,0.82%,XBI
CDMO,Avid Bioservices Inc,0.82%,XBI
FOLD,Amicus Therapeutics,0.81%,XBI
ZNTL,Zentalis Pharmaceuticals Inc,0.81%,XBI
IRWD,Ironwood Pharmaceuti,0.81%,XBI
EXEL,Exelixis Inc,0.78%,XBI
PTCT,Ptc Therapeutics,0.77%,XBI
NBIX,Neurocrine Bioscienc,0.77%,XBI
TVTX,Travere Therapeutics Inc,0.77%,XBI
DNLI,Denali Therapeutics Inc,0.76%,XBI
HALO,Halozyme Therapeutic,0.76%,XBI
SAGE,Sage Therapeutic Com,0.76%,XBI
BHVN,Biohaven Pharmaceutical Holding Ltd,0.75%,XBI
RLAY,Relay Therapeutics Inc,0.74%,XBI
KOD,Kodiak Sciences Inc,0.74%,XBI
IONS,Ionis Pharmaceuticals,0.73%,XBI
MRTX,Mirati Therapeutics,0.72%,XBI
ISEE,Iveric Bio Inc,0.72%,XBI
ARCT,Arcturus Therapeutics Ltd,0.71%,XBI
DVAX,Dynavax Technologies,0.71%,XBI
NVAX,Novavax Inc,0.71%,XBI
VCYT,Veracyte Inc,0.70%,XBI
BIIB,Biogen Inc,0.69%,XBI
RARE,Ultragenyx Pharmaceu,0.69%,XBI
BCRX,Biocryst Pharma Inc,0.69%,XBI
IOVA,Iovance Biotherapeutics Inc,0.69%,XBI
RVMD,Revolution Medicines Inc,0.69%,XBI
ALLK,Allakos Inc,0.68%,XBI
HRTX,Heron Therapeutics,0.68%,XBI
CERE,Cerevel Therapeutics Hldg Inc,0.68%,XBI
MDGL,Madrigal Pharmaceuticals Inc,0.67%,XBI
FATE,Fate Therapeutics,0.66%,XBI
INO,Inovio Pharma,0.66%,XBI
VXRT,Vaxart Inc,0.66%,XBI
SRNE,Sorrento Therpt,0.66%,XBI
KYMR,Kymera Therapeutics Inc,0.66%,XBI
EBS,Emergent Biosolutions,0.66%,XBI
NTRA,Natera Inc,0.65%,XBI
EXAS,Exact Sciences Cor,0.65%,XBI
BBIO,Bridgebio Pharma Inc,0.65%,XBI
MYGN,Myriad Genetics Inc,0.64%,XBI
ALKS,Alkermes Plc,0.64%,XBI
KPTI,Karyopharm Therapeut,0.63%,XBI
NTLA,Intellia Thera CS,0.63%,XBI
ICPT,Intercept Pharmaceuticals,0.63%,XBI
OCGN,Ocugen Inc,0.62%,XBI
AGIO,Agios Pharmaceuticals,0.61%,XBI
